Codigo;Regiao;UF;Data;Semana;Populacao;Casos_Acumulados;Casos_Novos;Obitos_Acumulados;Obitos_Novos
RO21/01/03;Norte;RO;03/01/2021;1;1777225;96906;473;1832;7
RO21/01/04;Norte;RO;04/01/2021;1;1777225;97197;291;1840;8
RO21/01/05;Norte;RO;05/01/2021;1;1777225;97854;657;1852;12
RO21/01/06;Norte;RO;06/01/2021;1;1777225;98811;957;1875;23
RO21/01/07;Norte;RO;07/01/2021;1;1777225;99595;784;1890;15
RO21/01/08;Norte;RO;08/01/2021;1;1777225;100343;748;1899;9
RO21/01/09;Norte;RO;09/01/2021;1;1777225;101024;681;1908;9
AC21/01/03;Norte;AC;03/01/2021;1;881935;42046;105;802;4
AC21/01/04;Norte;AC;04/01/2021;1;881935;42117;71;806;4
AC21/01/05;Norte;AC;05/01/2021;1;881935;42170;53;808;2
AC21/01/06;Norte;AC;06/01/2021;1;881935;42378;208;814;6
AC21/01/07;Norte;AC;07/01/2021;1;881935;42478;100;821;7
AC21/01/08;Norte;AC;08/01/2021;1;881935;42814;336;823;2
AC21/01/09;Norte;AC;09/01/2021;1;881935;42908;94;823;0
AM21/01/03;Norte;AM;03/01/2021;1;4144597;202413;546;5345;20
AM21/01/04;Norte;AM;04/01/2021;1;4144597;202972;559;5368;23
AM21/01/05;Norte;AM;05/01/2021;1;4144597;204900;1928;5414;46
AM21/01/06;Norte;AM;06/01/2021;1;4144597;207092;2192;5500;86
AM21/01/07;Norte;AM;07/01/2021;1;4144597;208798;1706;5546;46
AM21/01/08;Norte;AM;08/01/2021;1;4144597;208798;0;5546;0
AM21/01/09;Norte;AM;09/01/2021;1;4144597;212996;4198;5669;123
RR21/01/03;Norte;RR;03/01/2021;1;605761;68875;17;787;0
RR21/01/04;Norte;RR;04/01/2021;1;605761;68947;72;787;0
RR21/01/05;Norte;RR;05/01/2021;1;605761;69029;82;789;2
RR21/01/06;Norte;RR;06/01/2021;1;605761;69180;151;789;0
RR21/01/07;Norte;RR;07/01/2021;1;605761;69326;146;793;4
RR21/01/08;Norte;RR;08/01/2021;1;605761;69461;135;793;0
RR21/01/09;Norte;RR;09/01/2021;1;605761;69640;179;793;0
PA21/01/03;Norte;PA;03/01/2021;1;8602865;294010;203;7217;8
